[root@pacstat1 pssh]# sh batch-get.sh 
[387] 21:40:42 [SUCCESS] 10.10.101.27
[388] 21:40:42 [SUCCESS] 10.10.101.28
[389] 21:40:42 [FAILURE] 10.10.101.26 Exited with error code 1
[390] 21:40:42 [SUCCESS] 10.10.101.30
[391] 21:40:42 [FAILURE] 10.10.101.25 Exited with error code 1
[392] 21:40:42 [SUCCESS] 10.10.237.54
[393] 21:40:42 [SUCCESS] 10.10.101.31
[394] 21:40:42 [SUCCESS] 10.10.101.32
[395] 21:40:42 [SUCCESS] 10.10.101.33
[396] 21:40:42 [SUCCESS] 10.10.101.34
[397] 21:40:42 [SUCCESS] 10.10.237.55
[398] 21:40:42 [SUCCESS] 10.10.101.29
[399] 21:40:42 [SUCCESS] 10.10.237.57
[400] 21:40:42 [SUCCESS] 10.10.237.53
[401] 21:40:42 [SUCCESS] 10.10.101.35
[402] 21:40:42 [SUCCESS] 10.10.101.45
[403] 21:40:42 [SUCCESS] 10.10.237.58
[404] 21:40:42 [SUCCESS] 10.10.101.49
[405] 21:40:42 [SUCCESS] 10.10.101.48
[406] 21:40:42 [SUCCESS] 10.10.101.47
[407] 21:40:42 [SUCCESS] 10.10.237.56
[408] 21:40:42 [SUCCESS] 10.10.101.36
[409] 21:40:43 [FAILURE] 10.10.101.40 Exited with error code 1
[410] 21:40:43 [FAILURE] 10.10.101.46 Exited with error code 1
[411] 21:40:43 [SUCCESS] 10.10.101.52
[412] 21:40:43 [SUCCESS] 10.10.237.59
[413] 21:40:43 [SUCCESS] 10.10.101.53
[414] 21:40:43 [SUCCESS] 10.10.101.56
[415] 21:40:43 [SUCCESS] 10.10.101.57
[416] 21:40:43 [SUCCESS] 10.10.101.59
[417] 21:40:43 [SUCCESS] 10.10.237.64
[418] 21:40:43 [SUCCESS] 10.10.101.60
[419] 21:40:43 [SUCCESS] 10.10.101.63
[420] 21:40:43 [SUCCESS] 10.10.101.54
[421] 21:40:43 [SUCCESS] 10.10.105.29
[422] 21:40:43 [SUCCESS] 10.10.101.72
[423] 21:40:43 [SUCCESS] 10.10.101.73
[424] 21:40:43 [SUCCESS] 10.10.56.219
[425] 21:40:43 [SUCCESS] 10.10.101.74
[426] 21:40:43 [SUCCESS] 10.10.101.75
[427] 21:40:43 [SUCCESS] 10.10.101.62
[428] 21:40:43 [SUCCESS] 10.10.101.61
[429] 21:40:43 [SUCCESS] 10.10.101.77
[430] 21:40:43 [SUCCESS] 10.10.101.78
[431] 21:40:43 [SUCCESS] 10.10.101.76
[432] 21:40:43 [SUCCESS] 10.10.237.65
[433] 21:40:43 [SUCCESS] 10.10.101.67
[434] 21:40:43 [SUCCESS] 10.10.101.79
[435] 21:40:43 [SUCCESS] 10.10.237.66
[436] 21:40:43 [SUCCESS] 10.10.101.58
[437] 21:40:43 [SUCCESS] 10.10.237.67
[438] 21:40:43 [SUCCESS] 10.10.237.68
[439] 21:40:43 [SUCCESS] 10.10.101.68
[440] 21:40:43 [SUCCESS] 10.10.101.69
[441] 21:40:43 [SUCCESS] 10.10.101.71
[442] 21:40:43 [SUCCESS] 10.10.237.69
[443] 21:40:43 [SUCCESS] 10.10.101.80
[444] 21:40:43 [SUCCESS] 10.10.237.70
[445] 21:40:43 [SUCCESS] 10.10.101.104
[446] 21:40:43 [SUCCESS] 10.10.101.83
[447] 21:40:43 [SUCCESS] 10.10.101.102
[448] 21:40:43 [SUCCESS] 10.10.101.66
[449] 21:40:43 [SUCCESS] 10.10.101.65
[450] 21:40:43 [SUCCESS] 10.10.101.103
[451] 21:40:43 [SUCCESS] 10.10.101.95
[452] 21:40:43 [SUCCESS] 10.10.101.94
[453] 21:40:43 [SUCCESS] 10.10.101.101
[454] 21:40:43 [SUCCESS] 10.10.101.93
[455] 21:40:43 [SUCCESS] 10.10.101.96
[456] 21:40:43 [SUCCESS] 10.10.101.86
[457] 21:40:43 [SUCCESS] 10.10.101.88
[458] 21:40:43 [SUCCESS] 10.10.101.85
[459] 21:40:43 [SUCCESS] 10.10.101.84
[460] 21:40:43 [SUCCESS] 10.10.101.64
[461] 21:40:43 [SUCCESS] 10.10.101.107
[462] 21:40:43 [SUCCESS] 10.10.101.87
[463] 21:40:43 [SUCCESS] 10.10.101.97
[464] 21:40:43 [SUCCESS] 10.10.101.98
[465] 21:40:43 [SUCCESS] 10.10.101.81
[466] 21:40:43 [SUCCESS] 10.10.101.82
[467] 21:40:43 [SUCCESS] 10.10.101.99
[468] 21:40:43 [SUCCESS] 10.10.101.100
[469] 21:40:43 [SUCCESS] 10.10.101.108
[470] 21:40:44 [SUCCESS] 10.10.101.37
[471] 21:40:44 [SUCCESS] 10.10.101.109
[472] 21:40:44 [SUCCESS] 10.10.101.111
[473] 21:40:44 [SUCCESS] 10.10.101.110
[474] 21:40:44 [SUCCESS] 10.10.101.113
[475] 21:40:44 [SUCCESS] 10.10.101.114
[476] 21:40:44 [SUCCESS] 10.10.101.112
[477] 21:40:44 [SUCCESS] 10.10.237.80
[478] 21:40:44 [SUCCESS] 10.10.237.79
[479] 21:40:44 [SUCCESS] 10.10.232.111
[480] 21:40:44 [SUCCESS] 10.10.101.116
[481] 21:40:44 [SUCCESS] 10.10.101.117
[482] 21:40:44 [SUCCESS] 10.10.101.115
[483] 21:40:44 [SUCCESS] 10.10.101.119
[484] 21:40:44 [SUCCESS] 10.10.105.41
[485] 21:40:44 [SUCCESS] 10.10.105.42
[486] 21:40:44 [SUCCESS] 10.10.101.118
[487] 21:40:44 [SUCCESS] 10.10.101.51
[488] 21:40:44 [SUCCESS] 10.10.101.124
[489] 21:40:44 [SUCCESS] 10.10.101.122
[490] 21:40:44 [SUCCESS] 10.10.101.134
[491] 21:40:44 [SUCCESS] 10.10.101.135
[492] 21:40:44 [SUCCESS] 10.10.101.50
[493] 21:40:44 [SUCCESS] 10.10.101.137
[494] 21:40:44 [SUCCESS] 10.10.237.100
[495] 21:40:44 [SUCCESS] 10.10.101.136
[496] 21:40:44 [SUCCESS] 10.10.101.138
[497] 21:40:44 [SUCCESS] 10.10.237.102
[498] 21:40:44 [SUCCESS] 10.10.101.38
[499] 21:40:44 [SUCCESS] 10.10.232.168
[500] 21:40:44 [SUCCESS] 10.10.101.142
[501] 21:40:44 [SUCCESS] 10.10.101.129
[502] 21:40:44 [SUCCESS] 10.10.101.162
[503] 21:40:44 [SUCCESS] 10.10.101.144
[504] 21:40:44 [SUCCESS] 10.10.101.154
[505] 21:40:44 [SUCCESS] 10.10.101.146
[506] 21:40:44 [SUCCESS] 10.10.101.39
[507] 21:40:44 [SUCCESS] 10.10.237.113
[508] 21:40:44 [SUCCESS] 10.10.101.147
[509] 21:40:44 [FAILURE] 10.10.101.40 Exited with error code 1
